Unnamed: 0,duration,original_sr,suspicious_diff,min amplitude,max amplitude,max_magnitude1,max_magnitude2,max_magnitude3,min_magnitude1,min_magnitude2,min_magnitude3,RTP_ssrc,RTP_payload_length,Flushed_packets,isMalicious,Lost_packets_count,Lost_packets_precentage
98,34.4,8000,TRUE,-0.184545621,0.266988516,114.2810287,107.1500092,94.06200409,1.86E-11,2.59E-11,2.63E-11,4025040651,160,1720,FALSE,0,0
99,34.08,8000,TRUE,-0.091767251,0.068040714,40.07689285,38.68678284,37.92498398,1.43E-11,2.43E-11,5.32E-11,1497718774,160,1704,FALSE,0,0
100,147.56,8000,TRUE,-0.441301942,0.529470325,160.9374084,145.0187836,131.7758026,6.64E-12,6.83E-12,8.53E-12,2026403498,160,7378,FALSE,0,0
101,147.34,8000,TRUE,-0.226966649,0.241439879,130.911911,117.976738,114.1221924,2.07E-11,3.03E-11,3.05E-11,966715045,160,7367,FALSE,12,0.16
102,134.6900227,8000,TRUE,-1.170683265,0.691022038,187.7667084,168.4823456,165.2200165,3.08E-13,9.00E-13,2.70E-12,4223393007,160,6754,FALSE,0,0
103,2.387755102,8000,FALSE,-0.371932298,0.658168316,301.6690674,259.138916,240.4564209,1.36E-09,1.77E-09,4.99E-09,2133258545,62,120,FALSE,0,0
104,120.2702948,8000,TRUE,-0.508146226,0.67592299,380.6786499,359.9971619,335.9230042,1.79E-11,2.13E-11,2.95E-11,2133258545,160,6014,FALSE,0,0
105,101.5,8000,TRUE,-0.119779199,0.115347184,65.51696777,62.32037735,62.16375732,4.22E-12,3.68E-11,5.70E-11,4132307264,160,5075,FALSE,0,0
106,2.387755102,8000,FALSE,-0.371932298,0.658168316,301.6690674,259.138916,240.4564209,1.36E-09,1.77E-09,4.99E-09,1965796153,62,120,FALSE,0,0
107,10.64077098,8000,FALSE,-0.424917042,0.830132604,299.8691101,268.4085083,263.9434814,1.12E-09,3.03E-09,4.66E-09,1965796153,88,534,FALSE,0,0
108,111.42,8000,TRUE,-0.312394351,0.287187606,141.6364288,136.4812775,128.2107697,1.26E-12,4.04E-12,4.20E-12,965013963,160,5571,FALSE,0,0
109,114.04,8000,TRUE,-0.118636996,0.108489297,68.45513916,64.31092072,61.32239914,1.60E-11,1.65E-11,2.35E-11,3909646797,160,5702,FALSE,0,0
110,236.66,8000,TRUE,-0.366475046,0.331764102,208.1949768,199.0596008,192.6786194,9.33E-13,1.75E-12,2.26E-12,42234291,160,11833,FALSE,1,0.01
111,57.76,8000,TRUE,-0.155922368,0.151738554,58.27799988,54.09380722,51.26100922,6.88E-11,6.90E-11,7.42E-11,3909646797,160,2888,FALSE,0,0
112,45.86,8000,TRUE,-0.270359457,0.44082123,154.5184021,142.4784698,141.6201324,4.36E-12,9.14E-12,1.82E-11,1175056765,160,2293,FALSE,0,0
113,45.52,8000,TRUE,-0.155634329,0.132568613,81.57855988,76.99978638,75.93930817,1.41E-11,4.23E-11,6.29E-11,3868632983,160,2276,FALSE,0,0
114,11.11251701,8000,TRUE,-1.185684562,0.708209932,49.52173233,48.77804565,48.64949417,7.32E-11,7.33E-11,1.32E-10,338687564,160,580,FALSE,0,0
115,12.81428571,8000,TRUE,-0.424865395,0.833329797,307.0257874,301.6690674,298.0391235,1.15E-09,1.36E-09,1.72E-09,429125386,160,643,FALSE,0,0
116,18.53002268,8000,TRUE,-1.164949059,0.679589152,34.18037796,32.92547607,32.9107933,3.17E-12,4.25E-12,5.21E-12,2407357905,160,946,FALSE,0,0
117,85.68,8000,TRUE,-0.196047589,0.231646121,96.63470459,93.7861557,92.74571991,1.28E-11,4.25E-11,4.63E-11,637727252,160,4284,FALSE,0,0
118,85.62,8000,TRUE,-0.2552481,0.260293543,118.905777,112.0955353,111.9657288,3.73E-12,7.10E-12,8.53E-12,641842600,160,4281,FALSE,0,0
119,148,8000,TRUE,-0.226966649,0.241439879,130.911911,117.976738,114.1221924,1.77E-11,2.07E-11,4.09E-11,785611295,160,7400,FALSE,0,0
120,147.12,8000,TRUE,-0.441301942,0.529470325,160.9374084,145.0187836,131.7758026,6.64E-12,6.83E-12,8.53E-12,157388863,160,7356,FALSE,0,0
121,118.692517,8000,TRUE,-1.164909601,0.679899037,72.61535645,67.2546463,65.83597565,2.33E-13,2.22E-12,4.64E-12,1389701553,160,5959,FALSE,0,0
122,115.5995011,8000,TRUE,-0.429273099,0.758194506,314.1470337,303.5429993,301.6690674,3.67E-11,3.84E-11,6.11E-11,142421331,160,5782,FALSE,0,0
123,1.42,8000,FALSE,-0.476876229,0.612490892,317.433197,314.4564819,297.8348999,2.54E-08,2.82E-08,2.85E-08,1231117005,160,71,FALSE,0,0
124,67.86,8000,TRUE,-0.081338219,0.075981043,46.60248184,46.34444046,43.64120483,2.25E-11,3.25E-11,4.94E-11,1184881481,160,3393,FALSE,0,0
125,67.78,8000,TRUE,-0.471472204,0.447657526,255.3819885,245.1778259,183.5224915,3.57E-12,6.88E-12,7.00E-12,1628544973,160,3389,FALSE,0,0
126,248.38,8000,TRUE,-0.099139012,0.100034274,59.24393845,55.49518204,54.84709167,7.73E-12,9.52E-12,1.22E-11,2035124978,160,12419,FALSE,0,0
127,248.18,8000,TRUE,-0.672113717,0.606991112,303.0695496,302.0768433,292.1781616,1.07E-12,2.66E-12,4.09E-12,2838924102,160,12409,FALSE,0,0
128,199.9,8000,TRUE,-1.157694697,0.113683075,278.6459351,278.0650635,276.3529663,2.11E-11,2.17E-11,2.35E-11,0,160,9995,FALSE,0,0
129,124.4346485,8000,TRUE,-0.560079575,0.76300931,404.2268982,398.1477051,378.299408,4.43E-11,5.02E-11,5.48E-11,2037201661,160,6223,FALSE,0,0
130,127.972517,8000,TRUE,-1.164948583,0.6799438,155.7848969,149.4984589,140.6878815,9.41E-13,2.56E-12,2.84E-12,2280490962,160,6423,FALSE,0,0
131,6.300136054,8000,TRUE,-0.928970337,0.197979316,2.727576017,2.726809263,2.72654891,0,0,0,3353473925,160,316,FALSE,0,0
132,6.26,8000,FALSE,-0.54819721,0.686230063,387.3867798,366.8045654,332.5144043,2.16E-11,1.38E-10,1.51E-10,2146480894,160,313,FALSE,1,0.32
133,33.64,8000,TRUE,-0.584318399,0.766978621,540.1530151,496.8560181,493.2224426,7.44E-12,6.65E-11,2.08E-10,113797225,160,1682,FALSE,9,0.53
134,33.84,8000,TRUE,-0.172930509,0.182228655,25.14351082,23.76836395,23.50959206,0,0,0,1428854444,160,1692,FALSE,0,0
135,16.66013605,8000,TRUE,-0.928970337,0.201616228,119.3386459,118.1145325,111.0077209,0,0,0,3968213323,160,834,FALSE,0,0
136,16.66013605,8000,TRUE,-0.928970337,0.201616228,119.3386459,118.1145325,111.0077209,0,0,0,2025536264,160,843,FALSE,3,0.35
137,16.86,8000,TRUE,-0.554116488,0.766978621,532.3417969,491.6396179,444.9376221,8.96E-12,1.79E-11,4.03E-11,2025536264,160,843,FALSE,3,0.35
138,8.260136054,8000,TRUE,-0.928970337,0.197979316,16.62281036,16.22629738,15.64071178,0,0,0,2784281342,160,414,FALSE,0,0
139,8.260136054,8000,TRUE,-0.928970337,0.197979316,16.62281036,16.22629738,15.64071178,0,0,0,2784281342,160,414,FALSE,0,0
140,8.34,8000,FALSE,-0.54819721,0.686230063,581.6143799,519.4180908,447.6293945,1.01E-11,4.14E-11,4.83E-11,516041933,160,417,FALSE,0,0
141,8.34,8000,FALSE,-0.54819721,0.686230063,581.6143799,519.4180908,447.6293945,1.01E-11,4.14E-11,4.83E-11,516041933,160,417,FALSE,0,0
142,8.940136054,8000,TRUE,-0.928970337,0.197979316,5.601838589,5.556457043,5.486591339,0,0,0,1043673355,160,448,FALSE,0,0
143,8.94,8000,FALSE,-0.54819721,0.686230063,534.0039673,494.4704895,448.2857361,6.45E-09,9.26E-09,1.27E-08,2038264800,160,447,FALSE,0,0
